Company,Origin,REF,Review Date,Cocoa Percent,Location,Rating
Amedei,Toscano Black,40,2006,70%,Italy,5
Amedei,Toscano Black,75,2006,66%,Italy,4
AMMA,Catongo,1065,2013,75%,Brazil,3.25
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85%,Brazil,2.75
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50%,Brazil,3.75
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75%,Brazil,3.75
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60%,Brazil,4
Anahata,Elvesia,1259,2014,75%,U.S.A.,3
Animas,Alto Beni,1852,2016,75%,U.S.A.,3.5
Ara,Madagascar,1375,2014,75%,France,3
Ara,Chiapas,1379,2014,72%,France,2.5
Ara,Equateur,1379,2014,75%,France,2.75
Ara,Trincheras,1379,2014,75%,France,3
Arete,San Juan,1724,2016,70%,U.S.A.,3.5
Arete,Kokoa Kamili,1724,2016,70%,U.S.A.,3.75
Arete,Tien Giang,1900,2016,73%,U.S.A.,3.5
Arete,Hacienda Victoria,1904,2016,70%,U.S.A.,3.25
Arete,Costa Esmeraldas,1904,2016,70%,U.S.A.,3.25
Arete,Lachua,1904,2016,70%,U.S.A.,3.5
Arete,Rugoso,1904,2016,70%,U.S.A.,3.75
Arete,"La Masica, FHIA",1908,2016,70%,U.S.A.,3.5
Arete,"Coto Brus, Terciopelo",1908,2016,70%,U.S.A.,4
Arete,Phantom,1924,2016,70%,U.S.A.,4
Arete,Elvesia,1928,2016,70%,U.S.A.,3.75
Arete,Matasawalevu,1928,2016,70%,U.S.A.,3.25
Arete,Lam Dong,1928,2016,73%,U.S.A.,3.25
Arete,Fazenda Camboa,1534,2015,70%,U.S.A.,3.5
Arete,Nacional,1534,2015,68%,U.S.A.,3.5
Arete,"Puerto Quito, heirloom",1534,2015,70%,U.S.A.,3.75
Arete,Oko Caribe,1598,2015,70%,U.S.A.,3.5
Arete,Maya Mountain,1598,2015,70%,U.S.A.,3.75
Arete,Chuno,1598,2015,70%,U.S.A.,4
Arete,Fazenda Camboa,1602,2015,75%,U.S.A.,2.75
Arete,Guatemala,1602,2015,70%,U.S.A.,3.25
Arete,Camino Verde,1602,2015,75%,U.S.A.,3.5
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,72%,U.K.,3.25
Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72%,U.K.,3.75
Artisan du Chocolat,Haiti,729,2011,72%,U.K.,4
Artisan du Chocolat,Panama,745,2011,72%,U.K.,2.75
Artisan du Chocolat,Venezuela,486,2010,100%,U.K.,1.75
Artisan du Chocolat,Jamaica,531,2010,72%,U.K.,3.75
Artisan du Chocolat,Costa Rica,600,2010,72%,U.K.,3.25
Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72%,U.K.,3.25
Artisan du Chocolat,Bali,600,2010,72%,U.K.,3.5
Artisan du Chocolat,"Ocumare, Venezuela",355,2009,75%,U.K.,2.5
Artisan du Chocolat,Java,355,2009,72%,U.K.,2.75
Artisan du Chocolat,Brazil Rio Doce,363,2009,72%,U.K.,1.75
Artisan du Chocolat,Madagascar,363,2009,80%,U.K.,3
Artisan du Chocolat,Peru,363,2009,75%,U.K.,3
Artisan du Chocolat,Dominican Republic,363,2009,72%,U.K.,3.25
Artisan du Chocolat,Congo,300,2008,72%,U.K.,3.75
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72%,U.K.,2.75
Askinosie,Mababa,1780,2016,68%,U.S.A.,3.75
Askinosie,"Tenende, Uwate",647,2011,72%,U.S.A.,3.75
Askinosie,Cortes,661,2011,70%,U.S.A.,3.75
Askinosie,Davao,331,2009,77%,U.S.A.,3.75
Askinosie,Xoconusco,141,2007,75%,U.S.A.,2.5
Askinosie,San Jose del Tambo,175,2007,70%,U.S.A.,3
Bahen & Co.,Houseblend,1474,2015,80%,Australia,3.25
Bahen & Co.,Papua New Guinea,1474,2015,70%,Australia,3.5
Bahen & Co.,Sambirano,995,2012,70%,Australia,3
Bahen & Co.,Bahia,999,2012,70%,Australia,2.5
Bahen & Co.,Houseblend,999,2012,70%,Australia,2.5
Bakau,"Bambamarca, 2015",1454,2015,70%,Peru,2.75
Bakau,"Huallabamba, 2015",1454,2015,70%,Peru,3.5
Bar Au Chocolat,Bahia,1554,2015,70%,U.S.A.,3.5
Bar Au Chocolat,Maranon Canyon,1295,2014,70%,U.S.A.,4
Bar Au Chocolat,Duarte Province,983,2012,70%,U.S.A.,3.25
Bar Au Chocolat,Chiapas,983,2012,70%,U.S.A.,3.5
Bar Au Chocolat,Sambirano,983,2012,70%,U.S.A.,3.75
Baravelli's,single estate,955,2012,80%,Wales,2.75
Batch,"Dominican Republic, Batch 3",1840,2016,65%,U.S.A.,3.5
Batch,Brazil,1868,2016,70%,U.S.A.,3.75
Batch,Ecuador,1880,2016,65%,U.S.A.,3.25
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73%,U.K.,3
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,72%,U.K.,3.25
Beehive,"Brazil, Batch 20316",1784,2016,80%,U.S.A.,2.75
Beehive,"Dominican Republic, Batch 31616",1784,2016,70%,U.S.A.,2.75
Beehive,"Ecuador, Batch 31516",1784,2016,70%,U.S.A.,2.75
Beehive,Ecuador,1788,2016,90%,U.S.A.,2.75
Belcolade,Costa Rica,586,2010,64%,Belgium,2.75
Belcolade,Papua New Guinea,586,2010,64%,Belgium,2.75
Belcolade,Peru,586,2010,64%,Belgium,2.75
Belcolade,Ecuador,586,2010,71%,Belgium,3.5
Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,70%,U.S.A.,3.5
Bellflower,"Alto Beni, Palos Blanco",1804,2016,70%,U.S.A.,3.25
Bellflower,"Oko Caribe, Duarte P.",1864,2016,70%,U.S.A.,3.5
Belyzium,"Belize south, low fermentation",1768,2016,83%,Germany,2.75
Belyzium,Belize south,1768,2016,78%,Germany,3
Belyzium,Belize south,1768,2016,83%,Germany,3.5
Benoit Nihant,Baracoa,1141,2013,74%,Belgium,3.5
Benoit Nihant,Chuao,1141,2013,74%,Belgium,3.5
Benoit Nihant,Cuyagua Village,1141,2013,74%,Belgium,3.5
Benoit Nihant,Rio Peripa H.,1141,2013,73%,Belgium,4
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72%,Belgium,4
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72%,Belgium,3.75
Bernachon,Nature,797,2012,55%,France,2.75
Beschle (Felchlin),Madagascar,636,2011,64%,Switzerland,3
Beschle (Felchlin),Maracaibo,636,2011,88%,Switzerland,3
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,72%,Switzerland,3.5
Beschle (Felchlin),Ecuador,636,2011,72%,Switzerland,4
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,70%,Switzerland,3.25
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,74%,Switzerland,3.25
Beschle (Felchlin),"Java, Grand Cru",508,2010,64%,Switzerland,3.5
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,72%,Switzerland,3.5
Bisou,"Nicaragua, American style",1482,2015,76%,U.S.A.,2.5
Bisou,"San Andres, American style",1486,2015,76%,U.S.A.,2.5
Bisou,"San Andres, silk",1486,2015,78%,U.S.A.,2.5
Bisou,Belize,1486,2015,86%,U.S.A.,3.25
Bittersweet Origins,Ghana,963,2012,72%,U.S.A.,3.5
Bittersweet Origins,"Bali, Singaraja",478,2010,75%,U.S.A.,3.25
Bittersweet Origins,2009 Hapa Nibby,502,2010,70%,U.S.A.,3.75
Bittersweet Origins,"Bali, Singaraja",558,2010,65%,U.S.A.,2.75
Bittersweet Origins,"Sambirano, 2009",565,2010,70%,U.S.A.,3
Bittersweet Origins,"Ocumare, prototype",565,2010,78%,U.S.A.,3
Bittersweet Origins,Puerto Plata,414,2009,75%,U.S.A.,3
Bittersweet Origins,Puerto Plata,414,2009,65%,U.S.A.,3.5
Bittersweet Origins,Sambirano,423,2009,75%,U.S.A.,3.25
Bittersweet Origins,Sambirano,431,2009,65%,U.S.A.,3.5
Bittersweet Origins,Sambirano,233,2008,71%,U.S.A.,3
Bittersweet Origins,Bocas del Toro,233,2008,75%,U.S.A.,3.5
Bittersweet Origins,Puerto Plata,233,2008,68%,U.S.A.,3.75
Bittersweet Origins,Ankasa,256,2008,70%,U.S.A.,3
Black Mountain,La Red,256,2008,70%,U.S.A.,2.75
Black Mountain,Carenero Superior,256,2008,70%,U.S.A.,2.75
Black Mountain,Matiguas,256,2008,70%,U.S.A.,3
Black River (A. Morin),Blue Mountain Region,1331,2014,70%,U.K.,2.75
Blanxart,"Congo, Grand Cru",1046,2013,82%,Spain,3.5
Blanxart,Organic Dark,322,2009,72%,Spain,2.75
Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,82%,U.S.A.,3.5
Blue Bandana,Lachua,1752,2016,75%,U.S.A.,2.75
Blue Bandana,Kokoa Kamili,1752,2016,75%,U.S.A.,3.5
Blue Bandana,Zorzal Reserva,1756,2016,75%,U.S.A.,3
Blue Bandana,Guatemala,911,2012,70%,U.S.A.,3.5
Blue Bandana,Madagascar,911,2012,70%,U.S.A.,3.75
Bonnat,Selva Maya,1912,2016,75%,France,3.5
Bonnat,Kaori,1339,2014,75%,France,4
Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,75%,France,3.25
Bonnat,Surfin,1418,2014,65%,France,3.75
Bonnat,Maragnam,1038,2013,75%,France,3.5
Bonnat,Gabon,1042,2013,75%,France,3.25
Bonnat,Cuba,629,2011,75%,France,3.5
Bonnat,"Cusco, Cacao Cusco",629,2011,75%,France,3.5
Bonnat,Piura Blanco,629,2011,75%,France,3.5
Bonnat,Libanio,629,2011,75%,France,3.75
Bonnat,Haiti,629,2011,75%,France,4
Bonnat,"Madagascar, 100% criollo",629,2011,75%,France,4
Bonnat,Juliana,672,2011,75%,France,3.5
Bonnat,Jamaique,761,2011,75%,France,3.25
Bonnat,Ivory Coast,331,2009,75%,France,3
Bonnat,"Porcelana, Apotequil",336,2009,75%,France,2.75
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,75%,France,3
Bonnat,"Xoconusco, cacao Real",395,2009,75%,France,3
Bonnat,"Porcelana, Venezuela",199,2008,75%,France,4
Bonnat,Equateur,123,2007,75%,France,2.5
Bonnat,Trinite,24,2006,75%,France,3.75
Bonnat,"Ocumare, Puerto Cabello",32,2006,75%,France,4
Bonnat,"Maracaibo, El Rosario",48,2006,75%,France,4
Bonnat,Madagascar,75,2006,75%,France,4
Bonnat,One Hundred,81,2006,100%,France,1.5
Bonnat,Ceylan,81,2006,75%,France,3
Bonnat,Chuao,81,2006,75%,France,4
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,77%,Ecuador,3.25
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,100%,Ecuador,1.5
Bowler Man,Maya Mountain,1267,2014,70%,U.S.A.,2.75
Bowler Man,Conacado,1271,2014,70%,U.S.A.,2.75
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,70%,U.S.A.,3.5
Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,70%,U.S.A.,3.75
Brasstown aka It's Chocolate,Conacado,1462,2015,68%,U.S.A.,3.75
Brasstown aka It's Chocolate,Maya Mountain,1255,2014,70%,U.S.A.,3.75
Brasstown aka It's Chocolate,Chuao,1355,2014,70%,U.S.A.,4
Brasstown aka It's Chocolate,Cooproagro,1125,2013,72%,U.S.A.,3
Brasstown aka It's Chocolate,"Camino Verde, Guayas",1125,2013,70%,U.S.A.,3.25
Brasstown aka It's Chocolate,Ghana,1129,2013,75%,U.S.A.,3.5
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129,2013,85%,U.S.A.,3.5
Brazen,Elvesia P.,1514,2015,60%,U.S.A.,3
Brazen,Elvesia P.,1514,2015,80%,U.S.A.,3.25
Brazen,"Alta Verapaz, 2014",1514,2015,70%,U.S.A.,3.5
Brazen,Ambolikapiky P.,1518,2015,80%,U.S.A.,2.75
Brazen,Maya Mountain,1518,2015,80%,U.S.A.,3.25
Brazen,Ambolikapkly P.,1518,2015,60%,U.S.A.,3.25
Breeze Mill,Jamaica,1149,2013,70%,U.S.A.,3
Bright,Somia Plantation,1231,2014,72%,Australia,3
Bright,Marabel Farms,1231,2014,70%,Australia,3.5
Bright,"Camino Verde, Balao, Guayas",1231,2014,72%,Australia,3.5
Bright,Gran Couva,1235,2014,68%,Australia,2.75
Britarev,Ecuador,1638,2015,70%,Russia,3.25
Bronx Grrl Chocolate,Dominican Republic,1181,2013,68%,U.S.A.,2.75
Burnt Fork Bend,Trinidad,1299,2014,72%,U.S.A.,3.25
Burnt Fork Bend,Mindo,1299,2014,72%,U.S.A.,3.5
Burnt Fork Bend,Belize,1303,2014,72%,U.S.A.,3.25
Burnt Fork Bend,Blend,1303,2014,72%,U.S.A.,3.25
Burnt Fork Bend,"Ecuador, Bob Bar",1323,2014,60%,U.S.A.,2.5
Cacao Arabuco,Puerto Rico,1606,2015,70%,Puerto Rico,2.5
Cacao Atlanta,Tumbes,1215,2014,75%,U.S.A.,2.5
Cacao Atlanta,"Dominican Republic, ""Love Bar""",502,2010,75%,U.S.A.,2.5
Cacao Atlanta,Dominican Republic w/ nibs,502,2010,75%,U.S.A.,2.75
Cacao Atlanta,Patanemo,600,2010,75%,U.S.A.,2.25
Cacao Barry,Grand 'Anse,1716,2016,65%,France,3.5
Cacao Barry,Santo Domingo,586,2010,70%,France,3
Cacao Barry,Tanzania,300,2008,75%,France,2
Cacao Barry,Venezuela,141,2007,72%,France,2
Cacao Barry,Mexico,147,2007,66%,France,3
Cacao de Origen,Chuao,1688,2015,77%,Venezuela,3.5
Cacao de Origen,Rio Caribe,1692,2015,75%,Venezuela,3.25
Cacao de Origen,Agua Fria; Sucre region,1391,2014,75%,Venezuela,2.5
Cacao de Origen,Macuare; Miranda; Chloe formula,1391,2014,74%,Venezuela,3.25
Cacao de Origen,"Chuao, Aragua region",1391,2014,75%,Venezuela,3.5
Cacao de Origen,"Chuao, Aragua region",1395,2014,70%,Venezuela,3.75
Cacao de Origin,Hacienda la Trinidad,1668,2015,74%,Venezuela,3.25
Cacao Hunters,Macondo,1816,2016,71%,Colombia,3.75
Cacao Hunters,Perla Negra,1816,2016,74%,Colombia,3.75
Cacao Hunters,Arhuacos,1662,2015,72%,Colombia,3.75
Cacao Hunters,Sierra Nevada,1430,2014,64%,Colombia,3.5
Cacao Hunters,Tumaco,1430,2014,70%,Colombia,3.5
Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",1434,2014,69%,Colombia,2.75
Cacao Hunters,Arauca,1434,2014,70%,Colombia,3.25
Cacao Market,"Jutiapa, lot 050916D",1860,2016,70%,U.S.A.,3.5
Cacao Prieto,"Criollo, Dominican Republic",991,2012,72%,U.S.A.,3.75
Cacao Prieto,"Dominican Republicm, rustic",641,2011,72%,U.S.A.,3
Cacao Prieto,Dominican Republic,641,2011,66%,U.S.A.,3.75
Cacao Prieto,"Dominican Republic, rustic",647,2011,65%,U.S.A.,3.25
Cacao Sampaka,"Mahali, Kasai",1908,2016,70%,Spain,3.5
Cacao Sampaka,Madagascar,508,2010,71%,Spain,3.5
Cacao Sampaka,Ecuador,523,2010,71%,Spain,3.75
Cacao Sampaka,Papua,523,2010,71%,Spain,4
Cacao Sampaka,Grenada,537,2010,71%,Spain,3.25
Cacao Sampaka,Venezuela,537,2010,71%,Spain,3.5
Cacao Sampaka,Venezuela,537,2010,77%,Spain,3.5
Cacao Sampaka,"Porcelana, Tabasco, La Joya",336,2009,70%,Spain,4
Cacao Sampaka,"Xoconusco, Chiapas",346,2009,70%,Spain,4
Cacao Store,Madagascar,1684,2015,70%,Japan,3
Cacao Store,Peru,1684,2015,70%,Japan,3.25
Cacao Store,Vietnam,1684,2015,70%,Japan,3.5
Cacaosuyo (Theobroma Inversiones),Piura,1173,2013,70%,Peru,3.25
Cacaoyere (Ecuatoriana),Amazonia,237,2008,63%,Ecuador,3.5
Cacaoyere (Ecuatoriana),Esmeraldas,237,2008,71%,Ecuador,3.5
Cacaoyere (Ecuatoriana),Bolivar,245,2008,82%,Ecuador,2.5
Cacaoyere (Ecuatoriana),Pichincha,259,2008,91%,Ecuador,1.5
Callebaut,Grenade,296,2008,60%,Belgium,2.75
Callebaut,Baking,141,2007,70%,Belgium,1
C-Amaro,Cuba,1442,2014,75%,Italy,2.5
C-Amaro,Dominican Republic,1442,2014,72%,Italy,3
C-Amaro,"Lago di Como, Blu",1442,2014,70%,Italy,3.5
C-Amaro,Ecuador,1185,2013,100%,Italy,3.5
C-Amaro,Venezuela,809,2012,80%,Italy,3
C-Amaro,Sao Tome,749,2011,78%,Italy,2.25
C-Amaro,Trinidad,765,2011,70%,Italy,2.5
Cao,Porcelana,1804,2016,75%,U.S.A.,2.5
Cao,Tanzania,1804,2016,73%,U.S.A.,2.75
Cao,"Porcelana, Batch 5163",1804,2016,70%,U.S.A.,3
Cao,Bolivia,1808,2016,75%,U.S.A.,3
Cao,Brazil,1808,2016,70%,U.S.A.,3.25
Caoni (Tulicorp),Esmeraldas,237,2008,77%,Ecuador,2
Caoni (Tulicorp),Manabi,237,2008,77%,Ecuador,2.5
Caoni (Tulicorp),Los Rios,245,2008,77%,Ecuador,2.75
Caoni (Tulicorp),Manabi,266,2008,55%,Ecuador,3
Caoni (Tulicorp),Los Rios,269,2008,55%,Ecuador,3.25
Caoni (Tulicorp),Esmeraldas,269,2008,55%,Ecuador,3.5
Captain Pembleton,"Saidor Estate, Madang P.",1263,2014,70%,New Zealand,3.5
Captain Pembleton,Kulili Estate,1263,2014,70%,New Zealand,3.75
Caribeans,"Antigua, Special Reserve",1582,2015,72%,Costa Rica,3.5
Caribeans,"Talamanca, Raul-Kekoldo community",1586,2015,72%,Costa Rica,3.25
Caribeans,Anselmo Paraiso Estate,1586,2015,72%,Costa Rica,3.5
Caribeans,Costa Rica,841,2012,72%,Costa Rica,3
Caribeans,Costa Rica,845,2012,80%,Costa Rica,2.75
Carlotta Chocolat,Arauca,1884,2016,65%,Colombia,3
Carlotta Chocolat,Tumaco,1888,2016,65%,Colombia,3.25
Carlotta Chocolat,Cordoba,1888,2016,65%,Colombia,3.25
Carlotta Chocolat,Huila,1888,2016,65%,Colombia,3.5
Carlotta Chocolat,Cesar,1888,2016,65%,Colombia,3.5
Castronovo,"Maya Mtn, Batch 454, Heirloom",1724,2016,72%,U.S.A.,4
Castronovo,"the lost city, gracias a dias, batch 362",1570,2015,72%,U.S.A.,3.5
Castronovo,"Duarte, Batch 360",1570,2015,70%,U.S.A.,3.75
Castronovo,"Piaroa, Amazonas, Batch 350",1574,2015,72%,U.S.A.,3.5
Castronovo,Sierra Nevada,1347,2014,72%,U.S.A.,3.5
Castronovo,Arauca,1371,2014,76%,U.S.A.,3.5
Castronovo,Elvesia P.,1407,2014,70%,U.S.A.,2.75
Castronovo,Bolivia,1101,2013,70%,U.S.A.,3
Castronovo,Conacado,1101,2013,73%,U.S.A.,3.5
Castronovo,San Martin,1105,2013,70%,U.S.A.,2.5
Castronovo,"Guaniamo, Amazonas",1105,2013,70%,U.S.A.,3.25
Castronovo,Nicaragua,1109,2013,72%,U.S.A.,3.25
Castronovo,Tumbes,1153,2013,70%,U.S.A.,2.75
Castronovo,Guaniamo,1153,2013,72%,U.S.A.,3
Cello,Ecuador,1247,2014,70%,U.S.A.,2.5
Cello,Peru,1247,2014,70%,U.S.A.,2.75
Cello,Venezuela,1251,2014,70%,U.S.A.,2.75
Cello,Bolivia,1251,2014,70%,U.S.A.,3
Cemoi,Equateur,404,2009,72%,France,2.75
Chaleur B,Uganda,1426,2014,70%,Canada,2.75
Charm School,Maya Mtn,1900,2016,70%,U.S.A.,3.25
Chchukululu (Tulicorp),Arriba,486,2010,55%,Ecuador,2.75
Chchukululu (Tulicorp),Los Rios,252,2008,75%,Ecuador,3
Chequessett,la Amistad,1235,2014,70%,U.S.A.,3.5
Chloe Chocolat,Blend No. 1,672,2011,70%,France,3.5
Chocablog,Ecuador,1454,2015,70%,U.K.,3.25
Choco Del Sol,Maya Mountain w/ nibs,1407,2014,75%,Germany,3
Choco Del Sol,Maya Mountain,1407,2014,82%,Germany,3.25
Choco Dong,"Mekong Delta, early 2014 Harvest",1696,2015,70%,South Korea,2.75
Choco Dong,"Tawau, Oct. 2015 Harvest",1696,2015,70%,South Korea,3.5
Chocolarder,Peru,1482,2015,65%,U.K.,2.5
Chocolarder,Peru + nibs,1482,2015,65%,U.K.,2.75
Chocolarder,Dominican Republic,1514,2015,80%,U.K.,2.5
Chocola'te,Madagascar,647,2011,70%,U.S.A.,3.75
Chocola'te,Venezuela,647,2011,68%,U.S.A.,3.75
Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",1772,2016,90%,U.S.A.,2.5
Chocolate Alchemist-Philly,"Philly Blend, 5 plantations",1772,2016,80%,U.S.A.,2.5
Chocolate Con Amor,Wild Bolivian,1760,2016,70%,U.S.A.,2.5
Chocolate Con Amor,Uganda,1760,2016,70%,U.S.A.,2.75
Chocolate Con Amor,Dominican Republic,1764,2016,60%,U.S.A.,3
Chocolate Con Amor,Dominican Republic,1764,2016,75%,U.S.A.,3
Chocolate Con Amor,Ocumare,1764,2016,80%,U.S.A.,3
Chocolate Con Amor,Ecuador,1764,2016,70%,U.S.A.,3.25
Chocolate Con Amor,Nicaragua,1768,2016,80%,U.S.A.,2.75
Chocolate Conspiracy,Peru,1259,2014,74%,U.S.A.,2.75
Chocolate Makers,Tres Hombres,1530,2015,75%,Amsterdam,3.25
Chocolate Makers,"Congo, Gorilla bar",1530,2015,68%,Amsterdam,3.5
Chocolate Makers,"Peru, Awagum bar",1530,2015,80%,Amsterdam,3.75
"Chocolate Tree, The",Maranon,1582,2015,69%,Scotland,3.75
"Chocolate Tree, The",Carenero Superior,1582,2015,80%,Scotland,3.75
"Chocolate Tree, The",Peru,1121,2013,70%,Scotland,3.75
"Chocolate Tree, The",Ecuador,919,2012,82%,Scotland,2.5
