Company,Origin,Ref,ReviewDate,CocoaPercent,Location,Rating
Nathan Miller,Peru,1403,2014,72.00,U.S.A.,2.25
Nibble,Patanemo,1526,2015,72.00,U.S.A.,2.25
Paul Young,"Madagascar, w/ shell",1271,2014,73.00,U.K.,2.25
Rozsavolgyi,"Rio Caribe Superior, Paria Penninsula",871,2012,76.00,Hungary,2.25
SRSLY,Dominican Republic,1121,2013,84.00,U.S.A.,2.25
Willie's Cacao,"Java, Indonesian Black",1109,2013,100.00,U.K.,2.25
Alain Ducasse,Chuao,1061,2013,75.00,France,2.50
Alain Ducasse,"Piura, Perou",1173,2013,75.00,France,2.50
Altus aka Cao Artisan,CIAAB Coop,1732,2016,60.00,U.S.A.,2.50
Altus aka Cao Artisan,Villa Andina,1732,2016,60.00,U.S.A.,2.50
Altus aka Cao Artisan,Sur del Lago,1125,2013,60.00,U.S.A.,2.50
Ara,Chiapas,1379,2014,72.00,France,2.50
Artisan du Chocolat,"Ocumare, Venezuela",355,2009,75.00,U.K.,2.50
Askinosie,Xoconusco,141,2007,75.00,U.S.A.,2.50
Bahen & Co.,Bahia,999,2012,70.00,Australia,2.50
Bahen & Co.,Houseblend,999,2012,70.00,Australia,2.50
Bisou,"Nicaragua, American style",1482,2015,76.00,U.S.A.,2.50
Bisou,"San Andres, American style",1486,2015,76.00,U.S.A.,2.50
Bisou,"San Andres, silk",1486,2015,78.00,U.S.A.,2.50
Bonnat,Equateur,123,2007,75.00,France,2.50
Burnt Fork Bend,"Ecuador, Bob Bar",1323,2014,60.00,U.S.A.,2.50
Cacao Arabuco,Puerto Rico,1606,2015,70.00,Puerto Rico,2.50
Cacao Atlanta,Tumbes,1215,2014,75.00,U.S.A.,2.50
Cacao Atlanta,"Dominican Republic, ""Love Bar""",502,2010,75.00,U.S.A.,2.50
Cacao de Origen,Agua Fria; Sucre region,1391,2014,75.00,Venezuela,2.50
Cacaoyere (Ecuatoriana),Bolivar,245,2008,82.00,Ecuador,2.50
C-Amaro,Cuba,1442,2014,75.00,Italy,2.50
C-Amaro,Trinidad,765,2011,70.00,Italy,2.50
Cao,Porcelana,1804,2016,75.00,U.S.A.,2.50
Caoni (Tulicorp),Manabi,237,2008,77.00,Ecuador,2.50
Castronovo,San Martin,1105,2013,70.00,U.S.A.,2.50
Cello,Ecuador,1247,2014,70.00,U.S.A.,2.50
Chocolarder,Peru,1482,2015,65.00,U.K.,2.50
Chocolarder,Dominican Republic,1514,2015,80.00,U.K.,2.50
Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",1772,2016,90.00,U.S.A.,2.50
Chocolate Alchemist-Philly,"Philly Blend, 5 plantations",1772,2016,80.00,U.S.A.,2.50
Chocolate Con Amor,Wild Bolivian,1760,2016,70.00,U.S.A.,2.50
"Chocolate Tree, The",Ecuador,919,2012,82.00,Scotland,2.50
Chocolats Privilege,Xoconusco,1219,2014,70.00,Canada,2.50
Chocovic,"Bolivar, Guaranda",117,2007,71.00,Spain,2.50
Chocovic,Guyave,117,2007,71.00,Spain,2.50
Chocovivo,Tabasco,1522,2015,65.00,U.S.A.,2.50
Chocovivo,Tabasco,1522,2015,75.00,U.S.A.,2.50
Choklat,Ocumare,377,2009,80.00,Canada,2.50
Coppeneur,"Los Rios, H. Iara",558,2010,72.00,Germany,2.50
Cravve,New Ireland,1283,2014,70.00,Australia,2.50
Davis,Ghana,1093,2013,70.00,U.S.A.,2.50
De Villiers,Bundibugyo District,1832,2016,70.00,South Africa,2.50
Dean and Deluca (Belcolade),Madagascar,170,2007,66.00,U.S.A.,2.50
Desbarres,"Kilombero, batch 41",1916,2016,72.00,Canada,2.50
Dormouse,"Rio Caribe, Batch 7",1672,2015,70.00,U.K.,2.50
Duffy's,Star of Ecuador,523,2010,70.00,U.K.,2.50
El Rey,"Carenero Superior, Apamate",206,2008,74.00,Venezuela,2.50
El Rey,"Carenero Superior, Bucare",206,2008,58.00,Venezuela,2.50
Ethel's Artisan (Mars),"Peru, Madagascar",666,2011,55.00,U.S.A.,2.50
Ethel's Artisan (Mars),Trinidad,666,2011,55.00,U.S.A.,2.50
Ethel's Artisan (Mars),Porcelana,666,2011,70.00,U.S.A.,2.50
Ethel's Artisan (Mars),"Venezuela, Trinidad",672,2011,62.00,U.S.A.,2.50
Feitoria Cacao,Cuyagua,1736,2016,76.00,Portugal,2.50
Finca,Dominican Republic,1287,2014,85.00,U.S.A.,2.50
French Broad,Tumbes Coop,883,2012,70.00,U.S.A.,2.50
Fruition,Peru,863,2012,70.00,U.S.A.,2.50
Garden Island,"Kaua'I, Alea Estate +world",1367,2014,85.00,U.S.A.,2.50
Green & Black's (ICAM),Dark,15,2006,70.00,U.K.,2.50
Grenada Chocolate Co.,Grenada,241,2008,71.00,Grenada,2.50
Guittard,Sur del Lago,87,2006,65.00,U.S.A.,2.50
Hachez,Arriba,166,2007,77.00,Germany,2.50
Hoja Verde (Tulicorp),Manabi,414,2009,80.00,Ecuador,2.50
Holy Cacao,Ivory Coast,431,2009,70.00,Israel,2.50
Honest,"Ecuador, w/ nibs",1327,2014,72.00,South Africa,2.50
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 2012, 120hr c.",1113,2013,100.00,U.K.,2.50
Hotel Chocolat (Coppeneur),Uganda,296,2008,80.00,U.K.,2.50
Indah,India (south),1788,2016,61.00,India,2.50
Kakao,Peru,837,2012,64.00,Germany,2.50
Kallari (Ecuatoriana),Diego/ original micro,248,2008,85.00,Ecuador,2.50
Kallari (Ecuatoriana),Cacao Nacional W.F.,263,2008,75.00,Ecuador,2.50
Kto,San Martin,1422,2014,72.00,U.S.A.,2.50
Kyya,Uganda,1359,2014,72.50,U.S.A.,2.50
Kyya,Ecuador,1363,2014,72.50,U.S.A.,2.50
La Chocolaterie Nanairo,"Lumas, 2015 Harvest, Batch 7",1892,2016,70.00,Japan,2.50
La Oroquidea,Peruvian Amazon,721,2011,72.00,Peru,2.50
Lake Champlain (Callebaut),Tanzania,327,2009,75.00,U.S.A.,2.50
Loiza,Puerto Rico,1049,2013,65.00,Puerto Rico,2.50
Madre,Dominican,672,2011,70.00,U.S.A.,2.50
Mana,Ecuador,1446,2015,74.00,U.S.A.,2.50
Mana,Peru,1219,2014,74.00,U.S.A.,2.50
Marsatta,Dominican Republic,1189,2013,89.00,U.S.A.,2.50
Mast Brothers,Madagascar,999,2012,72.00,U.S.A.,2.50
Meadowlands,Bolivia,1287,2014,70.00,U.S.A.,2.50
Menakao (aka Cinagra),Madagascar,837,2012,80.00,Madagascar,2.50
Menakao (aka Cinagra),Madagascar,841,2012,72.00,Madagascar,2.50
Middlebury,La Red,1117,2013,75.00,U.S.A.,2.50
Middlebury,"Balinese, Java",887,2012,70.00,U.S.A.,2.50
Millcreek Cacao Roasters,Ecuador,1073,2013,70.00,U.S.A.,2.50
Mita,Tumaco,955,2012,65.00,Colombia,2.50
Nahua,"Costa Rica, Oscuro",1049,2013,58.00,Costa Rica,2.50
Naive,Grenada,867,2012,71.00,Lithuania,2.50
Nathan Miller,Hispaniola,1403,2014,70.00,U.S.A.,2.50
Nathan Miller,Madagascar,1403,2014,73.50,U.S.A.,2.50
Neuhaus (Callebaut),Papua New Guinea,531,2010,70.00,Belgium,2.50
Oakland Chocolate Co.,Jamaica,478,2010,70.00,U.S.A.,2.50
Pacari,Esmeraldas,224,2008,60.00,Ecuador,2.50
Pascha,Peru,1137,2013,55.00,Peru,2.50
Pinellas,Wampusirpi Region,1772,2016,80.00,U.S.A.,2.50
Pitch Dark,Tenor,1506,2015,62.00,U.S.A.,2.50
Pitch Dark,Namau Village,1315,2014,73.00,U.S.A.,2.50
Pomm (aka Dead Dog),"La Red, 2011",829,2012,76.00,U.S.A.,2.50
Ranger,"San Martin, Batch 2",1558,2015,70.00,U.S.A.,2.50
Raw Cocoa,Raw,867,2012,70.00,Poland,2.50
Republica del Cacao (aka Confecta),"Los Rios, Vinces",439,2009,75.00,Ecuador,2.50
Rozsavolgyi,Sur del Lago,809,2012,84.00,Hungary,2.50
Rozsavolgyi,"Sambirano, Akesson Estate",871,2012,72.00,Hungary,2.50
Rozsavolgyi,Porcelana,717,2011,71.00,Hungary,2.50
Shark's,"Hilo, w/ added cocoa butter",721,2011,73.00,U.S.A.,2.50
Sibu Sura,Peru,911,2012,70.00,U.S.A.,2.50
StRita Supreme,"Samar, East Visayas region",939,2012,65.00,U.S.A.,2.50
StRita Supreme,"Samar, East Visayas region",943,2012,70.00,U.S.A.,2.50
Summerbird,Peru,1800,2016,61.00,Denmark,2.50
Tabal,"Chiapas, Lacandon Jungle",1105,2013,70.00,U.S.A.,2.50
TCHO,Chocolatey-beta,199,2008,70.00,U.S.A.,2.50
TCHO,Fruity-beta,280,2008,70.00,U.S.A.,2.50
TCHO,Nutty-beta,284,2008,70.00,U.S.A.,2.50
Theo,Ivory Coast,184,2007,75.00,U.S.A.,2.50
twenty-four blackbirds,Palos Blancos,1026,2013,75.00,U.S.A.,2.50
Valrhona,Abinao,153,2007,85.00,France,2.50
Valrhona,Gran Couva 2005 P.,75,2006,64.00,France,2.50
Vanleer (Barry Callebaut),Manhattan,963,2012,72.00,U.S.A.,2.50
Vivra,Peru,1720,2016,70.00,U.S.A.,2.50
Vivra,Ocumare,1720,2016,70.00,U.S.A.,2.50
Whittakers,Ghana,733,2011,72.00,New Zealand,2.50
Wilkie's Organic,Amazonas,1169,2013,75.00,Ireland,2.50
A. Morin,Kpime,1676,2015,70.00,France,2.75
A. Morin,Carenero,1315,2014,70.00,France,2.75
A. Morin,Panama,1011,2013,70.00,France,2.75
A. Morin,Colombie,1015,2013,70.00,France,2.75
Adi,Vanua Levu,705,2011,60.00,Fiji,2.75
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55.00,Ecuador,2.75
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75.00,Switzerland,2.75
Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75.00,Switzerland,2.75
Alain Ducasse,Trinite,1215,2014,65.00,France,2.75
Alain Ducasse,Vietnam,1215,2014,75.00,France,2.75
Altus aka Cao Artisan,Momotombo,1728,2016,60.00,U.S.A.,2.75
Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60.00,U.S.A.,2.75
Amano,"Bali, Jembrana",304,2008,70.00,U.S.A.,2.75
Amatller (Simon Coll),Ecuador,327,2009,70.00,Spain,2.75
Amatller (Simon Coll),Ecuador,464,2009,85.00,Spain,2.75
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85.00,Brazil,2.75
Ara,Equateur,1379,2014,75.00,France,2.75
Arete,Fazenda Camboa,1602,2015,75.00,U.S.A.,2.75
Artisan du Chocolat,Panama,745,2011,72.00,U.K.,2.75
Artisan du Chocolat,Java,355,2009,72.00,U.K.,2.75
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72.00,U.K.,2.75
Bakau,"Bambamarca, 2015",1454,2015,70.00,Peru,2.75
Baravelli's,single estate,955,2012,80.00,Wales,2.75
Beehive,"Brazil, Batch 20316",1784,2016,80.00,U.S.A.,2.75
Beehive,"Dominican Republic, Batch 31616",1784,2016,70.00,U.S.A.,2.75
Beehive,"Ecuador, Batch 31516",1784,2016,70.00,U.S.A.,2.75
Beehive,Ecuador,1788,2016,90.00,U.S.A.,2.75
Belcolade,Costa Rica,586,2010,64.00,Belgium,2.75
Belcolade,Papua New Guinea,586,2010,64.00,Belgium,2.75
Belcolade,Peru,586,2010,64.00,Belgium,2.75
Belyzium,"Belize south, low fermentation",1768,2016,83.00,Germany,2.75
Bernachon,Nature,797,2012,55.00,France,2.75
Bittersweet Origins,"Bali, Singaraja",558,2010,65.00,U.S.A.,2.75
Black Mountain,La Red,256,2008,70.00,U.S.A.,2.75
Black Mountain,Carenero Superior,256,2008,70.00,U.S.A.,2.75
Black River (A. Morin),Blue Mountain Region,1331,2014,70.00,U.K.,2.75
Blanxart,Organic Dark,322,2009,72.00,Spain,2.75
Blue Bandana,Lachua,1752,2016,75.00,U.S.A.,2.75
Bonnat,"Porcelana, Apotequil",336,2009,75.00,France,2.75
Bowler Man,Maya Mountain,1267,2014,70.00,U.S.A.,2.75
Bowler Man,Conacado,1271,2014,70.00,U.S.A.,2.75
Brazen,Ambolikapiky P.,1518,2015,80.00,U.S.A.,2.75
Bright,Gran Couva,1235,2014,68.00,Australia,2.75
Bronx Grrl Chocolate,Dominican Republic,1181,2013,68.00,U.S.A.,2.75
Cacao Atlanta,Dominican Republic w/ nibs,502,2010,75.00,U.S.A.,2.75
Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",1434,2014,69.00,Colombia,2.75
Callebaut,Grenade,296,2008,60.00,Belgium,2.75
Cao,Tanzania,1804,2016,73.00,U.S.A.,2.75
Caoni (Tulicorp),Los Rios,245,2008,77.00,Ecuador,2.75
Caribeans,Costa Rica,845,2012,80.00,Costa Rica,2.75
Castronovo,Elvesia P.,1407,2014,70.00,U.S.A.,2.75
Castronovo,Tumbes,1153,2013,70.00,U.S.A.,2.75
Cello,Peru,1247,2014,70.00,U.S.A.,2.75
Cello,Venezuela,1251,2014,70.00,U.S.A.,2.75
Cemoi,Equateur,404,2009,72.00,France,2.75
Chaleur B,Uganda,1426,2014,70.00,Canada,2.75
Chchukululu (Tulicorp),Arriba,486,2010,55.00,Ecuador,2.75
Choco Dong,"Mekong Delta, early 2014 Harvest",1696,2015,70.00,South Korea,2.75
Chocolarder,Peru + nibs,1482,2015,65.00,U.K.,2.75
Chocolate Con Amor,Uganda,1760,2016,70.00,U.S.A.,2.75
Chocolate Con Amor,Nicaragua,1768,2016,80.00,U.S.A.,2.75
Chocolate Conspiracy,Peru,1259,2014,74.00,U.S.A.,2.75
"Chocolate Tree, The",Peru,919,2012,68.00,Scotland,2.75
Choklat,"Porcelana, Tabasco",377,2009,70.00,Canada,2.75
Chokolat Elot (Girard),Guadeloupe,1149,2013,42.00,Martinique,2.75
Chuao Chocolatier (Pralus),Chuao,486,2010,77.00,U.S.A.,2.75
Compania de Chocolate (Salgado),Carenero Superior,292,2008,80.00,Argentina,2.75
Compania de Chocolate (Salgado),Esmeraldas,296,2008,88.00,Argentina,2.75
Confluence,"Tien Giang, 2015, batch 10-2-16",1916,2016,78.00,U.S.A.,2.75
Cravve,"Vanuatu, batch 2410",1335,2014,83.00,Australia,2.75
Daintree,Goodman Estate,1654,2015,70.00,Australia,2.75
Dalloway,"Dominican Republic, batch 7",1928,2017,72.00,U.S.A.,2.75
Damson,O'Payo,1666,2015,70.00,U.K.,2.75
Dandelion,Buto,1303,2014,70.00,U.S.A.,2.75
Dandelion,"Cumboto, farmer Jose Lugo",1026,2013,70.00,U.S.A.,2.75
DAR,"Venezuela, batch 122",1920,2016,72.00,U.S.A.,2.75
Davis,Rainforest,1093,2013,70.00,U.S.A.,2.75
Davis,Venezuela,1093,2013,70.00,U.S.A.,2.75
DeVries,Bolivian,241,2008,80.00,U.S.A.,2.75
Dick Taylor,Bolivia,895,2012,75.00,U.S.A.,2.75
Dick Taylor,Belize,955,2012,72.00,U.S.A.,2.75
Dick Taylor,Sambirano,661,2011,80.00,U.S.A.,2.75
Dick Taylor,Mantuano,682,2011,75.00,U.S.A.,2.75
Dormouse,Non Pariel Estate,1880,2016,75.00,U.K.,2.75
Dormouse,"Colombia, Batch 9",1676,2015,80.00,U.K.,2.75
Dormouse,"Madagascar, Batch 8",1676,2015,77.00,U.K.,2.75
Durand,Madagascar,841,2012,82.00,France,2.75
Eclat (Felchlin),"Maranon, Good & Evil, w/ nibs",919,2012,72.00,U.S.A.,2.75
El Ceibo,Alto Beni,252,2008,71.00,Bolivia,2.75
El Rey,"Rio Caribe, Cariaco",439,2009,60.50,Venezuela,2.75
El Rey,"Carenero Superior, Gran Saman",32,2006,70.00,Venezuela,2.75
Emerald Estate,Emerald Estate,1137,2013,60.00,St. Lucia,2.75
Escazu,Rio Caribe,903,2012,70.00,U.S.A.,2.75
Escazu,"Carenero, Guapiles, Ocumare blend",431,2009,74.00,U.S.A.,2.75
Ethel's Artisan (Mars),Red Vanilla,666,2011,62.00,U.S.A.,2.75
Fearless (AMMA),"Monte Alegre, D. Badaro, Raw, Organic",565,2010,75.00,U.S.A.,2.75
Feitoria Cacao,Maya Mountain,1736,2016,76.00,Portugal,2.75
Forever Cacao,Rio Eni,1267,2014,72.00,U.K.,2.75
Forteza (Cortes),Dominican Republic,1776,2016,70.00,Puerto Rico,2.75
Forteza (Cortes),Puerto Rico,1776,2016,80.00,Puerto Rico,2.75
Fossa,"Akesson's E., Sambirano V.",1772,2016,70.00,Singapore,2.75
Fresco,"Ghana, #211, MR, MC",636,2011,74.00,U.S.A.,2.75
Fresco,"Sambirano Valley, #214, LR, MC",682,2011,74.00,U.S.A.,2.75
Fresco,"Jamaica, #204, DR, SC",370,2009,80.00,U.S.A.,2.75
Goodnow Farms,"Almendra Blanca, batch 1004",1924,2016,77.00,U.S.A.,2.75
Grenada Chocolate Co.,Grenada,363,2009,60.00,Grenada,2.75
Guittard,Haiti,1053,2013,65.00,U.S.A.,2.75
Guittard,Nicaragua,1053,2013,65.00,U.S.A.,2.75
Guittard,Coucher du Soleil,654,2011,72.00,U.S.A.,2.75
Habitual,Papua New Guinea,1197,2014,80.00,Canada,2.75
Habitual,Campesino w/ nibs,1197,2014,74.00,Canada,2.75
Habitual,Downtown London,1201,2014,65.00,Canada,2.75
Hacienda El Castillo,Don Homero- Cerecita Valley,1327,2014,55.00,Ecuador,2.75
Heilemann,Peru,1876,2016,64.00,Germany,2.75
hello cocoa,Uganda,1458,2015,57.00,U.S.A.,2.75
hexx,Tanzania,1546,2015,70.00,U.S.A.,2.75
Hogarth,Akesson's Estate,1712,2016,70.00,New Zealand,2.75
Hogarth,Carenero Superior,1712,2016,72.00,New Zealand,2.75
Holy Cacao,Maranon,1872,2016,70.00,Israel,2.75
Holy Cacao,Hispaniola,431,2009,70.00,Israel,2.75
Hotel Chocolat,"Pepiniere, single Cote",1654,2015,70.00,U.K.,2.75
Hotel Chocolat (Coppeneur),"Chanchamayo, Pichanadi, 2012, 60hr c.",1109,2013,100.00,U.K.,2.75
Hotel Chocolat (Coppeneur),"Conacado, 2012, 120hr c.",1113,2013,100.00,U.K.,2.75
Hotel Chocolat (Coppeneur),Ecuador,552,2010,70.00,U.K.,2.75
Hotel Chocolat (Coppeneur),Chuao,600,2010,70.00,U.K.,2.75
Hotel Chocolat (Coppeneur),Tanzania,296,2008,75.00,U.K.,2.75
Indaphoria,"Conacado, Manifesto",907,2012,70.00,U.S.A.,2.75
iQ Chocolate,"Satipo region, white label",943,2012,72.00,Scotland,2.75
Izard,"Elvesia P., Batch 32",1546,2015,70.00,U.S.A.,2.75
Jordis,Madagascar,1534,2015,63.00,Czech Republic,2.75
Kallari (Ecuatoriana),Roberto,245,2008,75.00,Ecuador,2.75
Kallari (Ecuatoriana),Diego 48hr/ W.F. blend prototype,248,2008,85.00,Ecuador,2.75
Kaoka (Cemoi),Noir,404,2009,70.00,France,2.75
Kaoka (Cemoi),Ecuador,423,2009,80.00,France,2.75
Kto,Ocumare,1422,2014,72.00,U.S.A.,2.75
K'ul,"Maranon, Fortunato No. 4",1852,2016,70.00,U.S.A.,2.75
La Maison du Chocolat (Valrhona),"Cuana, 2013",1121,2013,74.00,France,2.75
Laia aka Chat-Noir,"Madagascar, Batch 59/100",1590,2015,75.00,France,2.75
Laia aka Chat-Noir,"Vietnam, Batch 50/100",1590,2015,75.00,France,2.75
Laia aka Chat-Noir,Cuba,1434,2014,70.00,France,2.75
Laia aka Chat-Noir,Trinidad-Tobago,1438,2014,68.00,France,2.75
Lillie Belle,Purple Haze,947,2012,75.00,U.S.A.,2.75
Luker,Selva,552,2010,46.00,Colombia,2.75
Madre,Puerto Rico,1085,2013,70.00,U.S.A.,2.75
Madre,"Choobua, Kona",1089,2013,70.00,U.S.A.,2.75
Madre,"Xocunusco, Chiapas, Pichucalco",1089,2013,70.00,U.S.A.,2.75
Madre,Upala,693,2011,70.00,U.S.A.,2.75
Madre,"Chiapas, Triple Cacao",607,2010,72.00,U.S.A.,2.75
Malagasy (Chocolaterie Robert),Sambirano 2006,184,2007,75.00,Madagascar,2.75
Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate",311,2009,55.00,U.S.A.,2.75
Mana,Venezuela,1219,2014,74.00,U.S.A.,2.75
Manifesto Cacao,Colombia,1331,2014,70.00,Colombia,2.75
Manoa,"Hamakua, Hawaiian Crown, #176",1007,2012,72.00,U.S.A.,2.75
Map Chocolate,"San Juan Estate, Cherry Blossoms at Night",1606,2015,70.00,U.S.A.,2.75
Map Chocolate,Colombia,1610,2015,75.00,U.S.A.,2.75
Marana,Cusco,1884,2016,70.00,Peru,2.75
Martin Mayer,Alto Beni,1836,2016,76.00,Austria,2.75
Mast Brothers,Chuao,999,2012,73.00,U.S.A.,2.75
Mast Brothers,"Chuao, Light Roast",713,2011,81.00,U.S.A.,2.75
Mast Brothers,Papua New Guinea,777,2011,71.00,U.S.A.,2.75
Mast Brothers,Patanemo,572,2010,81.00,U.S.A.,2.75
Meadowlands,Venezuela,1287,2014,70.00,U.S.A.,2.75
Mesocacao,El Salvador,1494,2015,80.00,Honduras,2.75
Mindo,Ecuador,607,2010,67.00,U.S.A.,2.75
Mindo,Ecuador,607,2010,77.00,U.S.A.,2.75
Moho,"Umoho R., Toledo District, San Felipe",607,2010,67.00,U.S.A.,2.75
Molucca,Indonesia,1618,2015,70.00,U.S.A.,2.75
Momotombo,Matagalpa,661,2011,70.00,Nicaragua,2.75
Momotombo,Mombacho,661,2011,70.00,Nicaragua,2.75
Mutari,"Kokoa Kamili, batch 1 SRB",1896,2016,68.00,U.S.A.,2.75
Mutari,"Oko Caribe, batch 1 SRB",1896,2016,71.00,U.S.A.,2.75
Mutari,"Ambanja, batch 1 SRB",1900,2016,68.00,U.S.A.,2.75
Na�ve,Chuao,1399,2014,75.00,Lithuania,2.75
Neuhaus (Callebaut),Sao Tome,15,2006,75.00,Belgium,2.75
Nibble,Elvesia P.,1526,2015,72.00,U.S.A.,2.75
Night Owl,Peru,1022,2013,75.00,U.S.A.,2.75
Nova Monda,"La Dalia, Matagalpa,cacao Bisesto,green label",935,2012,75.00,Niacragua,2.75
Nuance,"Ecuador, 2013",1458,2015,70.00,U.S.A.,2.75
Ocho,Sang Yum Coop,1760,2016,100.00,New Zealand,2.75
Ocho,"PNG, Devotion",1411,2014,66.00,New Zealand,2.75
Ohiyo,"San Juan Estate, Gran Couva",1594,2015,70.00,U.S.A.,2.75
Olive and Sinclair,Dark 67,457,2009,67.00,U.S.A.,2.75
Olivia,Carribean,688,2011,76.00,Canada,2.75
Olivia,Carribean,688,2011,85.00,Canada,2.75
Omanhene,Ghana,693,2011,80.00,Ghana,2.75
organicfair,Maya Mountain,1161,2013,74.00,Canada,2.75
organicfair,La Red,1165,2013,72.00,Canada,2.75
organicfair,Nicaraqua,1165,2013,72.00,Canada,2.75
Original Beans (Felchlin),Papua Kerafat,1438,2014,68.00,Switzerland,2.75
Pacari,"Ecuador, raw",817,2012,85.00,Ecuador,2.75
Pacari,Manabi,224,2008,65.00,Ecuador,2.75
Palette de Bine,Lachua,1720,2016,70.00,Canada,2.75
Palette de Bine,"Alto Beni, Palos Blancos",1239,2014,72.00,Canada,2.75
Palette de Bine,"Camino Verde P., Balao, Guayas",1303,2014,75.00,Canada,2.75
Pascha,Peru,1137,2013,70.00,Peru,2.75
Paul Young,"Madagascar, w/ shell",1271,2014,64.00,U.K.,2.75
Pitch Dark,Johe,1506,2015,80.00,U.S.A.,2.75
